file_name,actual_transcription,pred_transcription,word_error_rate,character_error_rate
1249120_44142156_100535941.wav,I have some terrible problems when i'm breathing during the night.,I have some terrible problems when I am breathing during the night.,0.1818,0.0455
1249120_44142156_102100267.wav,I feel really sad all the time.,I feel really sad all the time.,0.0,0.0
1249120_44142156_102691000.wav,My knee feels weak and it gave way the other day at the top of the stairs.  Luckily there was a rail to hold on to.,My knee feels weak and it gave away the other day at the top of the stairs. Luckily there was a rail to hold on to it.,0.1154,0.0435
1249120_44142156_103207247.wav,is my cut infected or just healing?,Is my cut infected or just healing?,0.1429,0.0286
1249120_44142156_104815781.wav,What's the symptoms of appendicitis?,What's the symptoms of appendicitis?,0.0,0.0
1249120_44142156_106992412.wav,I have pain in my chest that saddens me.,I have pain in my chest that saddens me.,0.0,0.0
1249120_44142156_107416693.wav,My heart feels like it's going to explode.,My heart feels like it's going to explode.,0.0,0.0
1249120_44142156_108551604.wav,Something dark is there on my arm,Something dark is there on my arm?,0.1429,0.0303
1249120_44142156_108918007.wav,After a breakup  I feel something strange in me.,After a breakup I feel something strange in me.,0.0,0.0208
1249120_44142156_109272216.wav,I think I sprained my ankle it really hurts.,I think I sprained my ankle. It really hurts.,0.2222,0.0455
1249120_44142156_61923550.wav,I have a rash and it itches very bad.,I have a rash and it itches very bad.,0.0,0.0
1249120_44142156_65967262.wav,I hit my head at the basketball game.  Could I have a concussion?,I hit my head at the basketball game. Could I have a concussion?,0.0,0.0154
1249120_44142156_67177464.wav,My acne is really embarassing. It's so read.,"My agony is really embarrassing. It's so, it.",0.5,0.2045
1249120_44142156_68688606.wav,My head hurts in the back and the pain lasts all day.,My head hurts in the back and the pain lasts all day.,0.0,0.0
1249120_44142156_68965399.wav,I think there's fluid in my ears.,I think there is food in my ears.,0.4286,0.1515
1249120_44142156_69073946.wav,My knee doesn't want to bend well.,My knee doesn't want to bend. Well.,0.2857,0.0588
1249120_44142156_71498583.wav,It itches inside my ears.,It inches inside my ears.,0.2,0.04
1249120_44142156_72079889.wav,My face is all broken out with pimples.,My face is all broken out with pimples. Bye bye.,0.25,0.2308
1249120_44142156_72116310.wav,There is a tingling sensation in my neck.,There is a tingling sensation in my neck.,0.0,0.0
1249120_44142156_72195575.wav,My stomach feels full and upset  and bloating after big meals.,My stomach feels full and upset and bloating after big meals.,0.0,0.0161
1249120_44142156_72215245.wav,In the morning my respiration is loud.,In the morning. My respiration is loud.,0.2857,0.0526
1249120_44142156_77498968.wav,There are lots of hairs on my pillow in the morning.,There are lots of yards on my pillow in the morning.,0.0909,0.0577
1249120_44142156_78886399.wav,When i'm awake in the morning I feel strange and have vertigo,"When I wake in the morning, I feel strange and have heart.",0.3333,0.1639
1249120_44142156_81211021.wav,I have constant stomach pain and bloating.,I have constant stomach pain and bloating.,0.0,0.0
1249120_44142156_81969965.wav,When i'm doing sport I have pain under my skin,"When I am doing sport, I have pain under my skin.",0.4,0.1087
1249120_44142156_82857166.wav,When I play sports  I have some burning sensation in my spine,"When I play sports, I have some burning sensation in my spine.",0.1667,0.0328
1249120_44142156_83374589.wav,"After playing tennis,  I had a powerful sensation close to my neck","After playing tennis, I had a powerful sensation close to my neck.",0.0833,0.0303
1249120_44142156_84118183.wav,"Even if the temperature is high in the house,  my body is always cold","Even if the temperature is high in the house, my body is always cold.",0.0714,0.029
1249120_44142156_85471796.wav,"I feel like I just can't cope anymore, I feel overwhelmed and like I just can't get a break.",I feel like I just can't cope anymore. I feel overwhelmed and like I just can't get a break.,0.0526,0.0109
1249120_44142156_85979757.wav,When i'm driving my eyes see in double,When I am driving my eyes see in double.,0.375,0.1053
1249120_44142156_87050205.wav,Mr hair is falling out just by combing it.,Mister ear is falling out just by combing it.,0.2222,0.1429
1249120_44142156_87393869.wav,"My husband left me for another woman, my heart hurts so badly to the point I can't eat or sleep.",My husband left me for another woman. My heart hurts so badly to the point I can't eat or sleep.,0.1,0.0208
1249120_44142156_92200558.wav,I've been over my cold for weeks but still cough every day.,I have been over my cold for weeks but still cough every day.,0.1667,0.0508
1249120_44142156_92669868.wav,I get chills and aches all over.,I get chills and eggs all over.,0.1429,0.125
1249120_44142156_95625169.wav,I cannot get warm no matter how much I wrap up or how high I put the heating on,I can get warm no matter how much I work up or how high I put the heating on.,0.1579,0.0886
1249120_44142156_95959757.wav,I have a cut that is red and swollen.,I have a card that is red and swollen.,0.1111,0.0811
1249120_44142156_96248379.wav,"My mind feels very sad, as if it hurts.  The way I feel in my head is awful and when I think about my break-up, I cry with sadness.","My mind feels very sad as if it hurts the way I feel in my head is awful. And when I think about my breakup, I cry with sadness.",0.2069,0.0534
1249120_44142156_96389835.wav,"When I walk up a flight of stairs, my right knee hurts.",When I wake up a flight of stairs. My right knee hurts.,0.25,0.0727
1249120_44142156_98856249.wav,"I can't hear out of my ear properly, I feel like there is something in it causing irritation.",I can't hear out of my ear properly. I feel like there is something in it causing irritation.,0.0556,0.0108
1249120_44142156_98978171.wav,My hair is falling out in bunches.,My hair is falling out in bunches.,0.0,0.0
1249120_44142156_99534301.wav,It feels like my heart is going to leap out of my body. It hurts.,It feels like my heart is going to live out of my body. It hurts.,0.0667,0.0462
1249120_44142156_99940305.wav,I have a very rash sensation close to my arms,I have a very rash sensation close to my arm.,0.1,0.0222
1249120_44160489_102101174.wav,I stopped sports because I get Injury from sports,I stopped sport because I get injury from sport.,0.3333,0.0612
1249120_44160489_102120596.wav,Feels like there are pins and needles sticking in my joints,Feels like there are pins and needles stick in my joints.,0.1818,0.0678
1249120_44160489_10247966.wav,I have general discomfort in my torso.,I have general discomfort on my torso.,0.1429,0.0263
1249120_44160489_102714693.wav,I have dark spots on my skin,I have dark spot on my skin.,0.2857,0.0714
1249120_44160489_103212940.wav,After an hard working day I have foot ache,After a hard working day I have put a.,0.3333,0.1667
1249120_44160489_104477041.wav,The wound is still open,The wound is still open.,0.2,0.0435
1249120_44160489_10758647.wav,Can't keep focus,Can keep focus.,0.6667,0.1875
1249120_44160489_107692984.wav,My cough is very heavy and I have mucus.,My couch is very heavy and I have moos.,0.2222,0.1
1249120_44160489_107722835.wav,I feel deep Tingling when I touch Acne followed by bad sensation,I feel deep tingling when I touch a neck followed by bad sense of tune.,0.5,0.2188
1249120_44160489_15134043.wav,"i have whooping cough with excess mucous, need mucolytic.",I have whooping coach with excess muco mid mucolytic.,0.4444,0.1579
1249120_44160489_16357195.wav,I feel pain in my joint after an injury in the last football match I played.,I feel pain in the joint after an injury in the last two. Much.,0.3125,0.2895
1249120_44160489_24871058.wav,I feel pain in my throat,I feel pain in my throat.,0.1667,0.0417
1249120_44160489_27371028.wav,i have a problem in my back i cannot extend it,I have a problem in my back. I can extend it.,0.4545,0.1522
1249120_44160489_28078826.wav,i feel pain in my knee,I feel pain in my knee.,0.3333,0.0909
1249120_44160489_39396966.wav,My head is spinning when I get up.,My head is spinning when I get up. No. No.,0.25,0.2353
1249120_44160489_51266275.wav,I feel severe itching in the skin with redness,"I feel so very in, in the skin with redness.",0.4444,0.1957
1249120_44160489_53189650.wav,I feel pain in my back,I feel pain in my back.,0.1667,0.0455
1249120_44160489_54710844.wav,my shoulder is hurting me,My shoulder. It's hurting me.,0.8,0.24
1249120_44160489_54954142.wav,There is a sharp pain in my bicep,I think there is a sharp pain in my visit.,0.5,0.4242
1249120_44160489_64500032.wav,My wound opened up again,My wound opened up again.,0.2,0.0417
1249120_44160489_68617378.wav,I think my wound is infected,I think my wound is infected.,0.1667,0.0357
1249120_44160489_80710551.wav,I have severe shoulder pain,I have severe shoulder pain.,0.2,0.037
1249120_44160489_84795394.wav,My right shoulder clicks when I move my arm.,My right shoulder clicks when I move my arm.,0.0,0.0
1249120_44160489_85279792.wav,i can hardly breathe,I can hardly breathe it.,0.5,0.25
1249120_44160489_90541690.wav,I have a sharp pain in my ear,I have a sharp pain in my ear.,0.125,0.0345
1249120_44160489_93769999.wav,"It started as a tinnitus, but today the pain is throbbing and unbearable.",It started as a team. It was. But today the pain throbbing and unbearable.,0.3846,0.1918
1249120_44174241_106127699.wav,I feel so sore in my stomach area.,I a na ac A T.,0.875,0.7353
1249120_44174241_12756709.wav,Don't cry,Don't try.,0.5,0.2222
1249120_44174241_49139594.wav,i have shoulder pain after doing any home work.,Hello. I am Johan.,1.0,0.7872
1249120_44176037_100251532.wav,My lower back hurts but it improves if I stretch it,My lower back hurts but it improves if I stretch it.,0.0909,0.0196
1249120_44176037_101499318.wav,fell skull is cracked like nuts,Fell skull is cracked like nuts.,0.3333,0.0645
1249120_44176037_102837935.wav,I have a pain in my head,I have a pain in my head.,0.1429,0.0417
1249120_44176037_103421573.wav,i have injured myself during the soccer match,I have injured myself during the soccer match.,0.25,0.0444
1249120_44176037_104828775.wav,i was travelling by ship and i feel dizzy.,I was traveling by ship and I feel dizzy.,0.3333,0.0714
1249120_44176037_105110482.wav,I got acne when I ate chili,I got acne when I ate chili.,0.1429,0.037
1249120_44176037_17869624.wav,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,My daughter had her eyebrows threaded and it pulled an opening of skin in one of her brows that is now puffy and oozing.,0.0,0.0
1249120_44176037_20150035.wav,I got injured exercising,I got injured exercising.,0.25,0.0417
1249120_44176037_20693902.wav,I feel a great pain in my shoulder when i try to lift something heavy,I feel a great pain in my shoulder when I try to lift something heavy.,0.1333,0.029
1249120_44176037_30126275.wav,My head hurts when I'm doing this.,My head hurts when I'm doing this.,0.0,0.0
1249120_44176037_31708444.wav,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,0.0,0.0
1249120_44176037_31789912.wav,When I force my eyes to view I have blurry vision.,"When I force my eyes to view, I have blurry vision.",0.0909,0.02
1249120_44176037_35370988.wav,I feel something hurt me in taking breath and I cant take my breath,I feel something hurt me in taking breath and I can't take my breath.,0.1429,0.0299
1249120_44176037_36286796.wav,My calves feel like they are tight as knots and are throbbing,My calves feel like they are tight as knots and are throbbing.,0.0833,0.0164
1249120_44176037_39613511.wav,It is like I have a needle pushing through my heart.,It is like I have a needle pushing through my heart.,0.0,0.0
1249120_44176037_42605776.wav,I do not know why I feel cold,I do not know why I feel cold.,0.125,0.0345
1249120_44176037_43171240.wav,I feel a burning sensation in my guts about 2 hours after each meal.,I feel a burning sensation in my guts about two hours after each meal.,0.0714,0.0441
1249120_44176037_43767120.wav,itch at front and center of scalp,Itch at front and center of scalp.,0.2857,0.0606
1249120_44176037_46744530.wav,Yesterday I had a shouder pain,Yesterday I had a shouter pain.,0.3333,0.0667
1249120_44176037_48938284.wav,The warming system of my house is broken and  feel so cold,The warming system of my house is broken and feels so cold.,0.1667,0.0517
1249120_44176037_49505826.wav,My entire body is freezing.,My entire body is freezing.,0.0,0.0
1249120_44176037_51165744.wav,My shoulder has agreat pain,My shoulder has a great pain.,0.6,0.0741
1249120_44176037_55180782.wav,I feel weak all over.,I feel weak all over.,0.0,0.0
1249120_44176037_55272412.wav,I have a great stomach ache and i can't eat any thing,I have a great stomachache and I can't eat anything.,0.4167,0.0755
1249120_44176037_58635902.wav,"i was diagnosed with pneumonia, i can't breath easily.",I was diagnosed with pneumonia. I can't breathe easily.,0.4444,0.0741
1249120_44176037_60338690.wav,I have a headache every time I eat ice cream,I have a headache every time I eat ice cream.,0.1,0.0227
1249120_44176037_60482144.wav,"I started taking swimming lessons and I guess I swallowed too much water through my nose, because this sinusitis is killing me now.",I started taking swimming lessons and I guess I swallowed too much water through my nose because this synesis is killing me now.,0.087,0.0382
1249120_44176037_67765155.wav,stiffness inability to look right or left except by moving the whole body,"Stiffness, inability to look right or left, except by moving the whole body.",0.2308,0.0548
1249120_44176037_70263526.wav,I feel a soreness in my knees when I walk,I feel a soreness in my knees when I walk.,0.1,0.0244
1249120_44176037_70844058.wav,I have a neck pain when I sit in-front of my laptop.,I have a neck pain when I sit in front of my laptop.,0.1667,0.0192
1249120_44176037_73192675.wav,I have eruptions on my face that come and go .,I have eruptions on my face that come and go.,0.1818,0.0217
1249120_44176037_78861186.wav,I can't stand up or sit down I have a pain in my back that annoys me,I can't stand up or sit down. I have a pain in my back that annoys me.,0.1176,0.0294
1249120_44176037_85065458.wav,Every time I comb my hair there are so many hair in my comb.,"Every time I comb my hair, there are so many hair in my comb.",0.0714,0.0167
1249120_44176037_85896912.wav,"I feel dizzy when I set in-front of my laptop for an hour or two, what possibly could be the reason?",I feel dizzy when I sit in front of my laptop for an hour or two. What possibly could be the reason.,0.2857,0.05
1249120_44176037_87479535.wav,I don't have full range of motion with my arms,I don't have full range of motion with my arms.,0.1,0.0217
1249120_44176037_91490605.wav,The area around my heart doesn't feel good.,The area around my heart doesn't feel good.,0.0,0.0
1249120_44176037_92329827.wav,I have terrible pain in my heart,I have terrible pain in my heart.,0.1429,0.0312
1249120_44176037_93714115.wav,I have a hard muscle pain since i went to the gym,I have a hard muscle pain since I went to the gym.,0.1667,0.0408
1249120_44176037_96532055.wav,I feel muscle pain every time I make an extra effort.,I feel muscle pain every time I make an extra effort.,0.0,0.0
1249120_44176037_97090559.wav,My chest acne breaks out and never clears up.,My chest acne breaks out and never clears up.,0.0,0.0
1249120_44176037_98460166.wav,"When I move on my shoulder, pain shoots down my arm","When I move on my shoulder, pain shoots down my arm.",0.0909,0.0196
1249120_44188922_100192750.wav,my left side aches much,My left side aches much.,0.4,0.087
1249120_44188922_11401591.wav,I wake up at night feeling cold,I wake up at night feeling cold.,0.1429,0.0323
1249120_44188922_16063469.wav,Surgical wound infections,Surgical wound infections.,0.3333,0.04
1249120_44188922_16615356.wav,When I tried to be warm and wear more clothes I found that I was still cold,"When I tried to be warm and wear more clothes, I found that I was still cold.",0.1176,0.0267
1249120_44188922_24155893.wav,"I can't stand up, I feel my brain is moving inside my skull.",I can't stand up. I feel my brain is moving inside my skull.,0.0769,0.0167
1249120_44188922_27414258.wav,The severe pain in the stomach I feel,"Severe pain in the stomach, I feel.",0.5,0.1892
1249120_44188922_37008932.wav,I can't do anything I feel a weak in my body,I can't do anything. I feel weak in my body.,0.2727,0.0909
1249120_44188922_39157694.wav,When I play football I have muscle pain.,"When I play football, I have muscle pain.",0.125,0.025
1249120_44188922_44459296.wav,I can't stand with this horrible feeling in my stomach,I can't stand with this horrible feeling in my stomach.,0.1,0.0185
