file_name,actual_transcription,pred_transcription,word_error_rate,character_error_rate
1249120_13842059_104469105.wav,I have a painful cramp in my feet,I have a painful cramp in my feet.,0.125,0.0303
1249120_13842059_105045085.wav,The pain feels like it's right below the skin,The pain feels like it's right below the skin.,0.1111,0.0222
1249120_13842059_11964685.wav,I feel suicidal.,I feel suicidal.,0.0,0.0
1249120_13842059_12420758.wav,I feel a sharp pain in my ankle joint when I stand.,I feel a sharp pain in my ankle joint when I stand.,0.0,0.0
1249120_13842059_13041979.wav,My shoulder hurts me so much,My shoulder hurts me so much.,0.1667,0.0357
1249120_13842059_15629457.wav,I have a hair shortage,I have a hair shortage.,0.2,0.0455
1249120_13842059_17269028.wav,"My left ear is ok, but the right one feels like it's being stabbed with a nail.","My left ear is ok, but the right one feels like it is being stabbed with a nail.",0.1176,0.0253
1249120_13842059_18087389.wav,I'm suffering from sharp cough Accompanied by  phlegm,I am suffering from sharp cough accompanied by phlegm.,0.5,0.0943
1249120_13842059_18949363.wav,I was playing soccer and I twisted my ankle,I was playing soccer and I twisted my ankle.,0.1111,0.0233
1249120_13842059_19016138.wav,"When I move my shoulder, it's like lightning is being sent through my shoulder","When I move my shoulder, it is like lightning. It is being sent through my shoulder.",0.3571,0.0897
1249120_13842059_19662889.wav,I have pimples in patches along with a lot of redness on my face.,I have pimples and patches along with a lot of redness on my face.,0.0714,0.0308
1249120_13842059_19800134.wav,When I brush my hair I notice big clumps of hair coming out in the brush.,"When I brush my hair, I notice big clumps of hair coming out in the brush.",0.0625,0.0137
1249120_13842059_19948105.wav,I can't see the sign I have a blurry vision,I can't see the sign. I have a blurry vision.,0.2,0.0465
1249120_13842059_20699980.wav,My heart hurts when I exercise,My heart hurts when I exercise.,0.1667,0.0333
1249120_13842059_20940439.wav,I feel a tightness in my chest,I feel a tightness in my chest.,0.1429,0.0333
1249120_13842059_21651846.wav,"My hair is falling without a reason, I can see a lot of hair on my working desk.",My hair is falling without a reason. I can see a lot of hair on my working dust.,0.1111,0.0375
1249120_13842059_21818546.wav,I sliced myself deeply with a knife while I was cooking,I sliced myself deeply with a knife while I was cooking.,0.0909,0.0182
1249120_13842059_21836537.wav,i feel cold,I feel cold.,0.6667,0.1818
1249120_13842059_24545917.wav,I don't have problems taking in breath but out breath is so heavy,I don't have problems taking in breath but out breath is so heavy.,0.0769,0.0154
1249120_13842059_25097031.wav,I feel a lot of pain in the joints.,I feel a lot of pain in the joints.,0.0,0.0
1249120_13842059_25244471.wav,My upper back has been sore for a week.,My upper back has been sore for a week.,0.0,0.0
1249120_13842059_28311301.wav,Sometimes I cough because I'm a smoker,Sometimes I cough because I am a smoker.,0.4286,0.0789
1249120_13842059_28742137.wav,My television and computer seem out of focus even though I have new glasses.,My television and computer seem out of focus even though I have new glasses.,0.0,0.0
1249120_13842059_30159617.wav,My foot hurts me a lot of playing football,My foot hurts me a lot. Playing football.,0.4444,0.119
1249120_13842059_33116980.wav,I have tried to make massage on my foot but they still pain me,I have tried to make massage on my foot but they still pay me.,0.1429,0.0484
1249120_13842059_34188483.wav,i was playing football and injuried with joint pain.,I was playing football and injured with joint pain.,0.2222,0.0385
1249120_13842059_35254053.wav,My grandmother last year went to hospital because she was having a hard time breathing,"My grandmother last year, went to hospital because she was having a hard time breathing.",0.1333,0.0233
1249120_13842059_35924031.wav,I feel pain in my eyes I can see fog,I feel pain in my eyes. I can see fog.,0.2,0.0556
1249120_13842059_36985247.wav,I feel dizzy and out of sight,I feel dizzy and out of sight.,0.1429,0.0345
1249120_13842059_39081294.wav,My hair is falling when I am combing it.,My hair is falling when I am combing it.,0.0,0.0
1249120_13842059_39489825.wav,He was discovered to have an open wound.,He was discovered to have an open wound.,0.0,0.0
1249120_13842059_39765754.wav,The acne was causing me to feel embarrassed.,The acne was causing me to feel embarrassed.,0.0,0.0
1249120_13842059_40335111.wav,The pain in my ear is unbearable.,The pain in my ear is unbearable.,0.0,0.0
1249120_13842059_42512507.wav,I feel a pain in my neck,I feel a pain in my neck.,0.1429,0.0417
1249120_13842059_42630071.wav,My chest hurts when I smoke,My chest hurts when I smoke.,0.1667,0.037
1249120_13842059_42977059.wav,I feel like I went to an acupuncture's practice and had 100 needles in my shoulder,I feel like I went to an acupuncturist practice and had 100 needles in my shoulder.,0.125,0.0488
1249120_13842059_44664241.wav,I have a cut that has become red and oozes puss.,I have a cut that has become red and puss.,0.0909,0.125
1249120_13842059_46343929.wav,I can't get a girlfriend because of my acne.,I can't get a girlfriend because of my acne.,0.0,0.0
1249120_13842059_46589335.wav,I have a foot ache although I don't walk a lot.,I have a foot ache. I don't walk a lot.,0.1818,0.1915
1249120_13842059_46594173.wav,My neck hurts me and i can't stand with this pain,My neck hurts me and I can't stand with this pain.,0.1818,0.0408
1249120_13842059_51065552.wav,i am having problems seeing things feel like a cloud on my eyes everything is blurry,"I am having problems seeing things, feel like a cloud on my eyes. Everything is blurry.",0.3125,0.0595
1249120_13842059_55129614.wav,I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.,I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.,0.0,0.0
1249120_13842059_55159061.wav,Chronic bowel Pain,Chronic bowel pain.,0.3333,0.1111
1249120_13842059_55474114.wav,i feel pain in my foot,I feel pain in my foot.,0.3333,0.0909
1249120_13842059_55538328.wav,I have a break in the skin between my thumb and index finger and it will not close.,I have a break in the skin between my thumb and index finger and it will not close.,0.0,0.0
1249120_13842059_55866997.wav,"My stomach aches after I drink any soda drink, why?",My stomach aches after I drink any soda. Why?,0.3,0.1569
