File,Transcription,Subset_Name
1249120_15004831_103229689.wav,{'text': ' My son had his lip pierced and it is swollen and the skin inside on his lip is gray and looks infected.'},subset
1249120_15004831_93767590.wav,"{'text': "" My back hurts so much I can't bend down to tie my shoelaces.""}",subset
1249120_15830408_55921206.wav,{'text': ' I was travelling by ship and I feel dizzy.'},subset
1249120_15830408_37803938.wav,{'text': ' I do not know why I feel cold.'},subset
1249120_2171654_19438090.wav,{'text': ' My hair is falling out after I take a shower.'},subset
1249120_13842059_64044535.wav,{'text': ' I have a feeling like my whole body is complaining.'},subset
1249120_13842059_36985247.wav,{'text': ' I feel dizzy and out of sight.'},subset
1249120_1853182_104613772.wav,"{'text': "" I feel pain in my neck while I'm working.""}",subset
1249120_15004831_80093096.wav,{'text': ' I complain a lot with skin allergy.'},subset
1249120_14353703_29225925.wav,{'text': ' I have a throbbing in my joints.'},subset
1249120_1853182_22487381.wav,"{'text': "" I've had this cough for two weeks.""}",subset
1249120_15004831_43783926.wav,"{'text': ' When I get up, I feel dizzy and fall down.'}",subset
1249120_15004831_20587565.wav,"{'text': "" I'm having a hard time reading because the letters are all fuzzy.""}",subset
1249120_15004831_83170404.wav,{'text': ' There is this pain that radiates from my chest up to my left arm.'},subset
1249120_6338946_49886993.wav,{'text': ' My left side aches much'},subset
1249120_14353703_83543281.wav,{'text': ' I got injured exercising.'},subset
1249120_15004831_71961366.wav,{'text': ' Sometimes I cough because I am a smoker.'},subset
1249120_1853182_19905600.wav,{'text': ' I was playing basketball yesterday. I have sprained ankle.'},subset
1249120_6338946_43939076.wav,{'text': ' My shoulder hurts me so much'},subset
1249120_2171654_71989604.wav,{'text': ' I have an earache when I go to the pool.'},subset
1249120_1853182_12144833.wav,{'text': ' I feel depressed when I see my hair falling out.'},subset
1249120_15830408_35382218.wav,{'text': ' When I force my eyes to view I have blurry vision.'},subset
1249120_6338946_63123514.wav,"{'text': ' When I play football, I have muscle pain.'}",subset
1249120_15830408_94297385.wav,{'text': ' I have eruptions on my face that come and go.'},subset
1249120_6338946_108388847.wav,"{'text': "" My neck hurts me and I can't stand with this pain.""}",subset
1249120_15965551_99791985.wav,"{'text': "" I'm not good, I'm feeling so cold.""}",subset
1249120_14353703_78646084.wav,{'text': ' My entire body is freezing'},subset
1249120_1853182_100689643.wav,{'text': ' I feel a burning sensation in my shoulder muscle.'},subset
1249120_1853182_28883766.wav,"{'text': "" I got a divorce last year and I just can't stop dwelling on how to get revenge on my ex-husband.""}",subset
1249120_6338946_79218256.wav,{'text': ' My head aches since I woke up this morning.'},subset
1249120_1853182_16171679.wav,{'text': ' I am feeling so dizzy. Body is so fragile.'},subset
1249120_13842059_95082870.wav,{'text': ' Sometimes I feel like a claw on my chest that leaves me breathless.'},subset
1249120_14353703_92298432.wav,"{'text': "" My neck is annoying me. I can't sleep because of it""}",subset
1249120_17632529_72644850.wav,{'text': ' I was playing basketball yesterday. I have sprained ankle'},subset
1249120_6338946_14309885.wav,{'text': ' My ear hurts me badly.'},subset
1249120_15830408_74933291.wav,{'text': ' I feel very hard to breathe.'},subset
1249120_1853182_75761633.wav,{'text': ' I feel increased heart rate with Prick.'},subset
1249120_14054543_14236676.wav,{'text': ' I have apnea in my face and other problems in my derma like itching.'},subset
1249120_17632529_62680983.wav,{'text': ' I feel pain when I think of her.'},subset
1249120_15965551_85311616.wav,{'text': ' I have injured myself during the soccer match.'},subset
1249120_17632529_27636563.wav,{'text': ' I break out on my face very frequently.'},subset
1249120_1853182_95096394.wav,{'text': ' My arm hurts when I stretch.'},subset
1249120_6338946_18792627.wav,{'text': ' Longitudinal burning line across back with hard respiratory movements.'},subset
1249120_15004831_13536344.wav,{'text': ' I have a hair shortage.'},subset
1249120_15830408_19526724.wav,{'text': ' I started taking swimming lessons and I guess I swallowed too much water through my nose because this sinusitis is killing me now.'},subset
1249120_13842059_63309891.wav,"{'text': "" I feel pain inside. I don't know what it is.""}",subset
1249120_13842059_12420758.wav,{'text': ' I feel a sharp pain in my ankle joint when I stand.'},subset
1249120_14353703_48660231.wav,{'text': ' I have shoulder pain when I try to carry my groceries.'},subset
1249120_15004831_100921051.wav,{'text': ' My stomach aches after I drink any soda drink. Why?'},subset
1249120_15830408_100458275.wav,{'text': ' I have acne in my face and other problems in my derma like itching.'},subset
1249120_6338946_85710292.wav,{'text': ' the last time I clipped my toenails I cut them too short and now I have an infected nail'},subset
1249120_15830408_17444382.wav,{'text': ' I love to garden but I get a terrible twinge in my lower back when I lean over.'},subset
1249120_6338946_75933476.wav,{'text': ' I think I overdid it when I carried all that lumber from the yard. My lower back is killing me.'},subset
1249120_2171654_102887397.wav,{'text': ' I have blurry vision after I used a wrong medicine.'},subset
1249120_14353703_98831982.wav,{'text': ' I feel a soreness in my knees when I walk.'},subset
1249120_14353703_23494896.wav,"{'text': "" The area around my heart doesn't feel good""}",subset
1249120_1853182_48590607.wav,{'text': ' I have difficulty breathing in crowded places.'},subset
1249120_13842059_55538328.wav,{'text': ' I have a break in the skin between my thumb and index finger and it will not close.'},subset
1249120_15965551_41232322.wav,{'text': ' When I raise my hand I feel pain in my shoulder.'},subset
1249120_1853182_12060422.wav,"{'text': "" Oh, my head hurts me. I tried to be calm and I can't.""}",subset
1249120_13842059_72691774.wav,"{'text': "" I often get a stomach ache after I eat. I haven't been able to plan point which foods might be the trigger.""}",subset
1249120_14353703_49287804.wav,"{'text': ' I love to garden, but I get a terrible twinge in my lower back when I lean over.'}",subset
1249120_15830408_37988192.wav,{'text': ' I am having running nose.'},subset
1249120_15004831_35646374.wav,{'text': ' I think my body temperature is very low.'},subset
1249120_6338946_95204514.wav,"{'text': "" I can't stand with this horrible feeling in my stomach.""}",subset
1249120_6338946_45821188.wav,"{'text': "" I can't stand up. I feel my brain is moving inside my skull.""}",subset
1249120_1853182_94150189.wav,{'text': ' My wound was infected when I was planting some flowers in my garden.'},subset
1249120_14054543_78596230.wav,{'text': ' I have a pain in my stomach.'},subset
1249120_2171654_58828948.wav,{'text': ' The warming system of my house is broken and feels so cold.'},subset
1249120_6338946_100134591.wav,{'text': ' My ear hurts when I touch it.'},subset
1249120_1853182_56750588.wav,"{'text': "" I feel that it's hard to breathe for me, especially after running or making any effort.""}",subset
1249120_15830408_17297780.wav,"{'text': "" I'm disappointed.""}",subset
1249120_13842059_99076771.wav,{'text': ' my airache when I am listening to music.'},subset
1249120_15830408_74646148.wav,{'text': ' I have a hard muscle pain since I went to the gym.'},subset
1249120_6338946_69351278.wav,"{'text': "" I feel pain in my legs muscles after I ran yesterday. I took some painkillers, but it doesn't help.""}",subset
1249120_13842059_91612242.wav,"{'text': "" I have tried to relieve it but I can't.""}",subset
1249120_14353703_41100151.wav,{'text': ' It is like I have a needle pushing through my heart.'},subset
1249120_1853182_98369408.wav,"{'text': "" It is hard to breathe when I'm in the underground metro station. Why?""}",subset
1249120_15004831_71037307.wav,"{'text': ' I am having problems seeing things, feel like a cloud in my eyes, everything is blurry.'}",subset
1249120_15004831_53028981.wav,"{'text': ' Whenever I stand up, I feel dizzy.'}",subset
1249120_15965551_35401223.wav,{'text': ' I have terrible pain in my heart.'},subset
1249120_13842059_55129614.wav,{'text': ' I have a break in the skin inside one of my nostrils that has become infected and is now filled with pus.'},subset
1249120_15004831_56405823.wav,"{'text': "" They're pain in my foot.""}",subset
1249120_1853182_93232694.wav,{'text': ' I have a blurry vision during my swimming training in the pool. Why?'},subset
1249120_2171654_41770159.wav,{'text': ' I have acne in my face and other problema in my derma like itching.'},subset
1249120_15004831_88007774.wav,{'text': ' This long score on my left butt talk is from falling off my mountain bike.'},subset
1249120_15830408_80479236.wav,{'text': ' When I raise my hand I feel pain in my shoulder.'},subset
1249120_6338946_32796166.wav,"{'text': "" I'm injured. I can't play sports.""}",subset
1249120_13842059_18949363.wav,{'text': ' I was playing soccer and I twisted my ankle.'},subset
1249120_15004831_23170013.wav,{'text': ' I feel a pain in my neck.'},subset
1249120_15004831_72078546.wav,{'text': ' chronic bone disease at the level of the doubles of the lower extremidates.'},subset
1249120_15004831_12021665.wav,{'text': ' I feel a stiffness in my elbows and shoulders.'},subset
1249120_15004831_69709527.wav,{'text': ' I feel pain in my body.'},subset
1249120_17632529_41187706.wav,"{'text': ' I feel hurt, lot of pain in my heart.'}",subset
1249120_2171654_68349696.wav,"{'text': "" My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. I often have to nap sitting down.""}",subset
1249120_1853182_20103370.wav,"{'text': "" I can't carry anything. I have a pain in my shoulder.""}",subset
1249120_15965551_67804099.wav,{'text': ' I get a knee pain when I walk a lot.'},subset
1249120_6338946_62766927.wav,{'text': ' I cough a lot when I smell perfume. What is wrong with my lungs?'},subset
1249120_2171654_72266245.wav,{'text': ' I feel a soreness in my knees when I walk.'},subset
1249120_13842059_92379589.wav,{'text': ' I feel pain in my right shoulder after the tennis match.'},subset
1249120_15830408_45907625.wav,{'text': ' I feel a soreness in my knees when I walk.'},subset
1249120_13842059_20940439.wav,{'text': ' I feel a tightness in my chest.'},subset
1249120_6338946_34608804.wav,{'text': ' I have a cut on my foot that became infected from using the showers at the gym.'},subset
1249120_13842059_77775569.wav,{'text': ' I feel pain in my back.'},subset
1249120_17632529_12148940.wav,{'text': ' I have a sharp pain in my neck.'},subset
1249120_17632529_69017104.wav,{'text': ' My wound was infected when I was planting some flowers in my garden.'},subset
1249120_2171654_15523921.wav,{'text': ' I am having running nose.'},subset
1249120_13842059_40335111.wav,{'text': ' The pain in my ear is unbearable.'},subset
1249120_13842059_35924031.wav,{'text': ' I feel pain in my eyes. I can see fog.'},subset
1249120_6338946_30170394.wav,"{'text': "" I can't ride my car at night because I have blurry vision.""}",subset
1249120_2171654_51607090.wav,{'text': ' I do not know why I feel cold.'},subset
1249120_15830408_49631021.wav,"{'text': "" I have blurry vision and I can't see in the darkness. What is the reason doctor?""}",subset
1249120_15004831_103019463.wav,{'text': ' I have acne all over my face.'},subset
1249120_2171654_15700530.wav,{'text': ' Yesterday I had shoulder pain.'},subset
1249120_17632529_61627685.wav,{'text': ' I have an open wound in my arm.'},subset
1249120_14353703_65062339.wav,"{'text': "" My nose is congested all the time and there's this gluey secretion in my throat that makes it impossible for me to sleep. I often have to nap sitting down.""}",subset
1249120_15830408_84643418.wav,{'text': ' I feel a great pain in my shoulder when I try to lift something heavy.'},subset
1249120_17632529_72353055.wav,{'text': ' I feel weak.'},subset
1249120_17632529_21875553.wav,{'text': ' My kneecap feels like it is grating bone on bone when I walk.'},subset
1249120_13842059_55866997.wav,{'text': ' My stomach aches after I drink any soda. Why?'},subset
1249120_2171654_56923849.wav,"{'text': "" My neck is annoying me. I can't sleep because of it.""}",subset
1249120_15004831_54034570.wav,"{'text': "" I have a foot ache, although I don't walk a lot.""}",subset
1249120_2171654_36549904.wav,"{'text': ' I love to garden, but I get a terrible twinge in my lower back when I lean over.'}",subset
1249120_15004831_30046759.wav,{'text': ' I feel pain in my back.'},subset
1249120_15830408_79309819.wav,{'text': ' I feel dizzy when I sit in front of my laptop for an hour or two. What possibly could be the reason?'},subset
1249120_15004831_74682993.wav,{'text': ' I feel a tightness in my chest.'},subset
1249120_1853182_108211492.wav,"{'text': ' I feel hurt, a lot of pain in my heart.'}",subset
1249120_15004831_109863958.wav,{'text': ' I have difficulty moving my neck.'},subset
1249120_15830408_46145042.wav,{'text': ' I have throbbing in my joints.'},subset
1249120_13842059_57540056.wav,{'text': ' My knees ache on cold and rainy days.'},subset
1249120_1853182_20242420.wav,{'text': ' I feel like painting the wall.'},subset
1249120_15004831_68584765.wav,"{'text': "" I'm suffering from sharp cough accompanied by phlegm.""}",subset
1249120_15965551_82958180.wav,"{'text': "" The area around my heart doesn't feel good.""}",subset
1249120_6338946_95779210.wav,{'text': ' My ankle is hurting me.'},subset
1249120_13842059_55474114.wav,{'text': ' I feel pain in my foot.'},subset
1249120_15830408_87042261.wav,{'text': ' My entire body is freezing.'},subset
1249120_13842059_72683703.wav,{'text': ' I had a cold the last time I traveled by plane and I still have discomfort in my ears.'},subset
1249120_6338946_65091298.wav,{'text': ' I have a sharp pain and clicking sound in my ankle joint when I try to stand on it and walk.'},subset
1249120_13842059_64943737.wav,{'text': ' I get terrible headaches every few months and when I get done my vision is affected.'},subset
1249120_6338946_57435861.wav,{'text': ' I get tired too fast. I can barely put on my clothes in the morning.'},subset
1249120_13842059_28311301.wav,{'text': ' Sometimes I cough because I am a snoker.'},subset
1249120_15004831_72284888.wav,{'text': ' My chest hurts when I smoke.'},subset
1249120_13842059_19662889.wav,{'text': ' I have pimples and patches along with a lot of redness on my face.'},subset
1249120_2171654_104363236.wav,{'text': ' I have eruptions on my face that come and go.'},subset
1249120_13842059_96006573.wav,{'text': ' My shower drain is full of hair every time.'},subset
1249120_14353703_44429790.wav,{'text': ' I feel dizzy when I sit in front of my laptop for an hour or two. What possibly could be the reason?'},subset
1249120_6338946_97962298.wav,"{'text': "" I can't walk because I have a great foot ache.""}",subset
1249120_14353703_99001242.wav,"{'text': ' When I raise my hand, I feel pain in my shoulder.'}",subset
1249120_2171654_31081785.wav,{'text': ' I have a hard muscle pain since I went to the gym.'},subset
1249120_1853182_58291933.wav,{'text': ' I feel pain in my heart when I wake up.'},subset
1249120_6338946_73054929.wav,{'text': ' I feel pain in my shoulders when I write on the keyboard.'},subset
1249120_15830408_23240699.wav,{'text': ' I had an accident and my wound was open when I arrived to hospital.'},subset
1249120_6338946_37878461.wav,{'text': ' I feel lightheaded.'},subset
1249120_13842059_46589335.wav,"{'text': "" I have a foot ache, adult, I don't walk a lot.""}",subset
1249120_15004831_90007572.wav,{'text': ' I see pain in my eyes. I can see fog.'},subset
1249120_1853182_67194097.wav,{'text': ' I have a dull ache in my head.'},subset
1249120_2171654_46240770.wav,{'text': ' I got injured exercising.'},subset
1249120_15830408_39530967.wav,{'text': ' I usually have a bad cough when I get blue.'},subset
1249120_1853182_67762065.wav,"{'text': "" I'm having a hard time reading because the letters are all fuzzy.""}",subset
1249120_13842059_62150593.wav,{'text': ' My muscle in my shoulder burns when I move my arm.'},subset
1249120_17632529_20793910.wav,{'text': ' My body feels weak and I try to make it relax but it still pains me'},subset
