file_name,Transcription,phrase,merged_prompt,word_error_rate,character_error_rate
1249120_15004831_103229689.wav, my son had his lip pierced and it is swollen and the skin inside on his lip is gray and looks infected,my son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected,Wound and injury,0.0455,0.0196
1249120_15004831_93767590.wav, my back hurts so much i cant bend down to tie my shoelaces,my back hurts so much i cant bend down to tie my shoelaces,"Neck, back or spinal issues",0.0,0.0172
1249120_15830408_55921206.wav, i was travelling by ship and i feel dizzy,i was travelling by ship and i feel dizzy,Dizziness and vertigo,0.0,0.0244
1249120_15830408_37803938.wav, i do not know why i feel cold,i do not know why i feel cold,Feeling cold/hot,0.0,0.0345
1249120_2171654_19438090.wav, my hair is falling out after i take a shower,my hair is falling out after i take a shower,Hair and skin issues,0.0,0.0227
1249120_13842059_64044535.wav, i have a feeling like my whole body is complaining,i have a feeling like my whole body is complaining,Muscle and joint pain,0.0,0.02
1249120_13842059_36985247.wav, i feel dizzy and out of sight,i feel dizzy and out of sight,Dizziness and vertigo,0.0,0.0345
1249120_1853182_104613772.wav, i feel pain in my neck while im working,i feel pain in my neck while im working,"Neck, back or spinal issues",0.0,0.0256
1249120_15004831_80093096.wav, i complain a lot with skin allergy,i complain alot with skin allergy,Hair and skin issues,0.3333,0.0606
1249120_14353703_29225925.wav, i have a throbbing in my joints,i have a throbbing in my joints,Muscle and joint pain,0.0,0.0323
1249120_1853182_22487381.wav, ive had this cough for two weeks,ive had this cough for two weeks,Respiratory issue,0.0,0.0312
1249120_15004831_43783926.wav, when i get up i feel dizzy and fall down,when i get up i feel dizzy and fall down,Dizziness and vertigo,0.0,0.025
1249120_15004831_20587565.wav, im having a hard time reading because the letters are all fuzzy,im having a hard time reading because the letters are all fuzzy,Sensory issues,0.0,0.0159
1249120_15004831_83170404.wav, there is this pain that radiates from my chest up to my left arm,there is this pain that radiates from my chest up to my left arm,Chest pain,0.0,0.0156
1249120_6338946_49886993.wav, my left side aches much,my left side aches much,Internal pain,0.0,0.0435
1249120_14353703_83543281.wav, i got injured exercising,i got injured exercising,Wound and injury,0.0,0.0417
1249120_15004831_71961366.wav, sometimes i cough because i am a smoker,sometimes i cough because im a smoker,Respiratory issue,0.2857,0.0811
1249120_1853182_19905600.wav, i was playing basketball yesterday i have sprained ankle,i was playing basketball yesterday i have sprained ankle,Wound and injury,0.0,0.0179
1249120_6338946_43939076.wav, my shoulder hurts me so much,my shoulder hurts me so much,Shoulder pain,0.0,0.0357
1249120_2171654_71989604.wav, i have an earache when i go to the pool,i have a ear ache when i go to the pool,Sensory issues,0.2727,0.0769
1249120_1853182_12144833.wav, i feel depressed when i see my hair falling out,i feel depressed when i see my hair falling out,Hair and skin issues,0.0,0.0213
1249120_15830408_35382218.wav, when i force my eyes to view i have blurry vision,when i force my eyes to view i have blurry vision,Sensory issues,0.0,0.0204
1249120_6338946_63123514.wav, when i play football i have muscle pain,when i play football i have muscle pain,Muscle and joint pain,0.0,0.0256
1249120_15830408_94297385.wav, i have eruptions on my face that come and go,i have eruptions on my face that come and go ,Hair and skin issues,0.0,0.0444
1249120_6338946_108388847.wav, my neck hurts me and i cant stand with this pain,my neck hurts me and i cant stand with this pain,"Neck, back or spinal issues",0.0,0.0208
1249120_15965551_99791985.wav, im not good im feeling so cold,im not good im feeling so cold,Feeling cold/hot,0.0,0.0333
1249120_14353703_78646084.wav, my entire body is freezing,my entire body is freezing,Feeling cold/hot,0.0,0.0385
1249120_1853182_100689643.wav, i feel a burning sensation in my shoulder muscle,i feel a burning sensation in my shoulder muscle,Muscle and joint pain,0.0,0.0208
1249120_1853182_28883766.wav, i got a divorce last year and i just cant stop dwelling on how to get revenge on my exhusband,i got a divorce last year and i just cant stop dwelling on how to get revenge on my ex husband,Emotional and mental health,0.0952,0.0213
1249120_6338946_79218256.wav, my head aches since i woke up this morning,my head ache since i woke up this morning,,0.1111,0.0488
1249120_1853182_16171679.wav, i am feeling so dizzy body is so fragile,i am feeling so dizzy body is so fragile,General weakness,0.0,0.025
1249120_13842059_95082870.wav, sometimes i feel like a claw on my chest that leaves me breathless,sometimes i feel like a claw on my chest that leaves me breathless,,0.0,0.0152
1249120_14353703_92298432.wav, my neck is annoying me i cant sleep because of it,my neck is annoying me i cant sleep bacause of it,"Neck, back or spinal issues",0.0909,0.0408
1249120_17632529_72644850.wav, i was playing basketball yesterday i have sprained ankle,i was playing basketball yesterday i have sprained ankle,Wound and injury,0.0,0.0179
1249120_6338946_14309885.wav, my ear hurts me badly,my ear hurts me badly,Sensory issues,0.0,0.0476
1249120_15830408_74933291.wav, i feel very hard to breathe,i feel very hard to breathe,,0.0,0.037
1249120_1853182_75761633.wav, i feel increased heart rate with prick,i feel increased heart rate with prick,Chest pain,0.0,0.0263
1249120_14054543_14236676.wav, i have apnea in my face and other problems in my derma like itching,i have acne in my face and other problema in my derma like itching,Hair and skin issues,0.1429,0.0606
1249120_17632529_62680983.wav, i feel pain when i think of her,i feel pain when i think of her,Emotional and mental health,0.0,0.0323
1249120_15965551_85311616.wav, i have injured myself during the soccer match,i have injured myself during the soccer match,Wound and injury,0.0,0.0222
1249120_17632529_27636563.wav, i break out on my face very frequently,i break out on my face very frequently,Hair and skin issues,0.0,0.0263
1249120_1853182_95096394.wav, my arm hurts when i stretch,my arm hurts when i stretch,Muscle and joint pain,0.0,0.037
1249120_6338946_18792627.wav, longitudinal burning line across back with hard respiratory movements,longitudinal burning line across back with hard respiratory movements,"Neck, back or spinal issues",0.0,0.0145
1249120_15004831_13536344.wav, i have a hair shortage,i have a hair shortage,Hair and skin issues,0.0,0.0455
1249120_15830408_19526724.wav, i started taking swimming lessons and i guess i swallowed too much water through my nose because this sinusitis is killing me now,i started taking swimming lessons and i guess i swallowed too much water through my nose because this sinusitis is killing me now,Wound and injury,0.0,0.0078
1249120_13842059_63309891.wav, i feel pain inside i dont know what it is,i feel pain inside i do not know what it is,Internal pain,0.1818,0.0698
1249120_13842059_12420758.wav, i feel a sharp pain in my ankle joint when i stand,i feel a sharp pain in my ankle joint when i stand,Muscle and joint pain,0.0,0.02
1249120_14353703_48660231.wav, i have shoulder pain when i try to carry my groceries,i have shoulder pain when i try to carry my groceries,Shoulder pain,0.0,0.0189
1249120_15004831_100921051.wav, my stomach aches after i drink any soda drink why,my stomach aches after i drink any soda drink why,Digestive issues,0.0,0.0204
1249120_15830408_100458275.wav, i have acne in my face and other problems in my derma like itching,i have acne in my face and other problema in my derma like itching,Hair and skin issues,0.0714,0.0303
1249120_6338946_85710292.wav, the last time i clipped my toenails i cut them too short and now i have an infected nail,the last time i clipped my toenails i cut them too short and now i have an infected nail,Wound and injury,0.0,0.0114
