file_name,medical intent,phrase,label
1249120_43719934_43347848.wav,Dermatological Issues,When I carry heavy things I feel like breaking my back,1
1249120_43719934_53187202.wav,Abdominal Pain and Weakness,there is too much pain when i move my arm,0
1249120_31349958_55816195.wav,Wound Trauma,My son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected.,5
1249120_43719934_82524191.wav,Wound Trauma,My muscles in my lower back are aching,5
1249120_40663048_42741720.wav,Musculoskeletal Pain,I have muscle pain in my left leg,3
1249120_15004831_21919890.wav,Wound Trauma,I have cut my finger because of playing football and I have to apply pain relief cream but it does not help,5
1249120_14353703_93481996.wav,Dermatological Issues,I have acne in my face and other problems in my derma like itching,1
1249120_40401830_91347010.wav,Musculoskeletal Pain,i have a knee pain when i walk a lot,3
1249120_33905644_94419450.wav,Abdominal Pain and Weakness,dr. I feel a strange and powerful pain inside my rib cage,0
1249120_40663048_59137120.wav,Abdominal Pain and Weakness,I have for dia,0
1249120_43105396_81563216.wav,Respiratory and Ear Issues,"I used to be out of breath after going up a dozen of stairs, but now I struggle to breath even when I sit down.",4
1249120_40663048_86760636.wav,Respiratory and Ear Issues,i feel that it's hard to breath for me specially after running or making any effort,4
1249120_43719934_42637884.wav,Wound Trauma,i cant sleep because of cold,5
1249120_43105396_85779128.wav,Dermatological Issues,My infected wound cause fever,1
1249120_43719934_88984375.wav,Abdominal Pain and Weakness,I lose a lot of my hair,0
1249120_43719934_66133523.wav,Head and Neck Discomfort,i feel dizzy after severe diarrhea,2
1249120_43719934_29460358.wav,Wound Trauma,"Laceration, rupture or opening in the skin",5
1249120_38548574_48897763.wav,Head and Neck Discomfort,My head hurts whenever I try to do something.,2
1249120_44027675_19144041.wav,Dermatological Issues,I have dark spots on my skin,1
1249120_40401830_78987039.wav,Abdominal Pain and Weakness,I feel a sharp pain in my stomach,0
1249120_39675900_55647543.wav,Abdominal Pain and Weakness,I can't do anything I feel a weak in my body,0
1249120_40663048_70883977.wav,Head and Neck Discomfort,I have cloudy eyes,2
1249120_33251186_66147241.wav,Head and Neck Discomfort,I tried to put my glasses to see more clear but cant find any change,2
1249120_44027675_99323119.wav,Dermatological Issues,I feel deep Tingling when I touch Acne followed by bad sensation,1
1249120_43105396_93760266.wav,Dermatological Issues,My acne gets worse when it is hot,1
1249120_38548574_37713058.wav,Respiratory and Ear Issues,Sometimes I feel like a claw on my chest that leaves me breathless.,4
1249120_43105396_31701494.wav,Musculoskeletal Pain,my abdominal muscles have great pain since i was at GYM,3
1249120_43105396_18466333.wav,Wound Trauma,My back got injured while i was lifting at the gym,5
1249120_42554554_91878727.wav,Musculoskeletal Pain,my ankle is hurting me,3
1249120_44023395_102591472.wav,Wound Trauma,I think my wound is infected,5
1249120_41336418_98516775.wav,Musculoskeletal Pain,i feel pain in my knee,3
1249120_44142156_33811848.wav,Dermatological Issues,My skin is very dry and peeling.,1
1249120_44023395_32770026.wav,Musculoskeletal Pain,i can't move my shoulder because of pain,3
1249120_43898158_20629391.wav,Head and Neck Discomfort,when i wake up in the morning i feel dizzy,2
1249120_43918153_65721432.wav,Head and Neck Discomfort,I have a sharp pain in my neck,2
1249120_39675900_92774185.wav,Musculoskeletal Pain,There is pain in the muscles I do not know caused,3
1249120_43719934_72342755.wav,Respiratory and Ear Issues,I have a problem in the expiration because i have abronchial asthma,4
1249120_29713479_30880664.wav,Head and Neck Discomfort,"Every time I make an effort, I felt dizzy.",2
1249120_27392644_30360688.wav,Head and Neck Discomfort,I have a powerful pain inside my neck,2
1249120_43719934_73877271.wav,Abdominal Pain and Weakness,I have a pain internal,0
1249120_36929821_22772305.wav,Dermatological Issues,chronic disease of hair follicles and sebaceous glands.,1
1249120_43995026_50188564.wav,Head and Neck Discomfort,When I stand up too quickly I start to feel dizzy and light-headed,2
1249120_40663048_65421911.wav,Abdominal Pain and Weakness,I often get a sharp pain in my chest and I can't tell what I'm doing that might be triggering it.,0
1249120_39438102_72804973.wav,Musculoskeletal Pain,I have a feeling like my whole body is complaining,3
1249120_39675900_64467464.wav,Musculoskeletal Pain,My knee hurts when I play squash,3
1249120_40663048_90892859.wav,Head and Neck Discomfort,i can't see well,2
1249120_31349958_45296716.wav,Dermatological Issues,I tried alot of cream but i still feel the same skin problem,1
1249120_40663048_96568782.wav,Musculoskeletal Pain,It feels like someone stuck a knife into my shoulder,3
1249120_35408915_40576364.wav,Musculoskeletal Pain,I feel a burning sensation in my shoulder muscle.,3
1249120_29713479_101179933.wav,Wound Trauma,I cut my foot at the pool and it breaks open every day when I walk on it.,5
1249120_41087148_65738322.wav,Musculoskeletal Pain,My knee catches and hurts when I first stand up after sitting.,3
1249120_20518958_23074828.wav,Wound Trauma,I cut my hand a couple of weeks ago and even though I keep using an antibiotic cream it's not getting better.,5
1249120_39675900_82352673.wav,Musculoskeletal Pain,I feel pain in my shoulders when I write on the keyboard.,3
1249120_44027675_100349992.wav,Head and Neck Discomfort,i have a problem in seeing objects it is too difficult to see,2
1249120_31349958_25285161.wav,Wound Trauma,glass broken and wound my leg badly the wound is so wide,5
1249120_35350617_65750534.wav,Head and Neck Discomfort,"I have a blurry vision during my swimming training in the pool, why?",2
1249120_1853182_38598866.wav,Musculoskeletal Pain,I feel pain in my knee when I climb the stairs.,3
1249120_39675900_20831554.wav,Abdominal Pain and Weakness,"I get tired too fast, I can barely put on my clothes in the morning.",0
1249120_38548574_80257337.wav,Musculoskeletal Pain,My knee hurts when I walk,3
1249120_31349958_101101241.wav,Head and Neck Discomfort,i can't rotate my neck,2
1249120_44027675_27634315.wav,Wound Trauma,My son nicked his neck with an old razor and that spot has become inflamed and looks like it is infected.,5
1249120_27392644_90841863.wav,Abdominal Pain and Weakness,My heart is beating fast and it scares me.,0
1249120_43105396_90991239.wav,Dermatological Issues,I used to have acne when I was 15 years old,1
1249120_43105396_57267134.wav,Musculoskeletal Pain,My muscles in my lower back are aching.,3
1249120_40663048_75362840.wav,Musculoskeletal Pain,My shoulder muscle hurts when I try to reach up.,3
