audio_clipping:confidence,background_noise_audible:confidence,overall_quality_of_the_audio,quiet_speaker:confidence,speaker_id,file_download,file_name,phrase,prompt,writer_id,audio_clipping_no_clipping,background_noise_audible_no_noise,quiet_speaker_quiet_speaker,merged_prompt
1.0,1.0,3.33,1.0,43453425,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43453425_58166571.wav&key=test_key_TISTK,1249120_43453425_58166571.wav,when i remember her i feel down,Emotional pain,21665495,1,0,0,Emotional and mental health
0.6803,0.6803,3.33,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_43347848.wav&key=test_key_TISTK,1249120_43719934_43347848.wav,when i carry heavy things i feel like breaking my back,Hair falling out,44088126,0,1,0,Hair and skin issues
1.0,0.6655,3.33,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_53187202.wav&key=test_key_TISTK,1249120_43719934_53187202.wav,there is too much pain when i move my arm,Heart hurts,44292353,1,1,0,Chest pain
1.0,1.0,3.33,1.0,31349958,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_31349958_55816195.wav&key=test_key_TISTK,1249120_31349958_55816195.wav,my son had his lip pierced and it is swollen and the skin inside on his lip is grey and looks infected,Infected wound,43755034,1,0,0,Wound and injury
1.0,1.0,4.67,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_82524191.wav&key=test_key_TISTK,1249120_43719934_82524191.wav,my muscles in my lower back are aching,Infected wound,21665495,1,1,0,Wound and injury
1.0,1.0,3.0,1.0,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_51348478.wav&key=test_key_TISTK,1249120_40663048_51348478.wav,"i have muscle pain that my back
i have muscle pain at my back leg",Foot ache,44130352,1,1,0,Leg and foot pain
1.0,1.0,3.67,1.0,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_42741720.wav&key=test_key_TISTK,1249120_40663048_42741720.wav,i have muscle pain in my left leg,Shoulder pain,43913997,1,1,0,Shoulder pain
1.0,1.0,4.25,1.0,15004831,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_15004831_21919890.wav&key=test_key_TISTK,1249120_15004831_21919890.wav,i have cut my finger because of playing football and i have to apply pain relief cream but it does not help,Injury from sports,43318517,1,1,0,Wound and injury
0.6978,1.0,3.67,1.0,14353703,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_14353703_93481996.wav&key=test_key_TISTK,1249120_14353703_93481996.wav,i have acne in my face and other problems in my derma like itching,Skin issue,44066678,1,1,0,Hair and skin issues
1.0,0.6879,3.33,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_85316490.wav&key=test_key_TISTK,1249120_43719934_85316490.wav,i have a strange rash on my arm,Foot ache,44130352,1,1,0,Leg and foot pain
1.0,1.0,3.67,1.0,40401830,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40401830_91347010.wav&key=test_key_TISTK,1249120_40401830_91347010.wav,i have a knee pain when i walk a lot,Knee pain,21665495,1,1,0,Leg and foot pain
1.0,1.0,3.0,1.0,33905644,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_33905644_94419450.wav&key=test_key_TISTK,1249120_33905644_94419450.wav,dr i feel a strange and powerful pain inside my rib cage,Heart hurts,13121046,1,1,0,Chest pain
1.0,1.0,3.67,1.0,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_59137120.wav&key=test_key_TISTK,1249120_40663048_59137120.wav,i have for dia,Heart hurts,44130352,1,1,0,Chest pain
1.0,0.3416,4.0,0.6716,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_81563216.wav&key=test_key_TISTK,1249120_43105396_81563216.wav,i used to be out of breath after going up a dozen of stairs but now i struggle to breath even when i sit down,Hard to breath,44130352,1,0,0,Respiratory issue
1.0,1.0,4.0,1.0,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_86760636.wav&key=test_key_TISTK,1249120_40663048_86760636.wav,i feel that its hard to breath for me specially after running or making any effort,Hard to breath,44150058,1,1,0,Respiratory issue
1.0,0.6579,3.33,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_42637884.wav&key=test_key_TISTK,1249120_43719934_42637884.wav,i cant sleep because of cold,Injury from sports,44150058,1,1,0,Wound and injury
1.0,0.6479,3.67,1.0,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_85779128.wav&key=test_key_TISTK,1249120_43105396_85779128.wav,my infected wound cause fever,Skin issue,44140394,1,0,0,Hair and skin issues
1.0,1.0,3.0,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_88984375.wav&key=test_key_TISTK,1249120_43719934_88984375.wav,i lose a lot of my hair,Body feels weak,42082009,1,1,0,General weakness
1.0,1.0,4.33,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_66133523.wav&key=test_key_TISTK,1249120_43719934_66133523.wav,i feel dizzy after severe diarrhea,Feeling dizzy,44164300,1,1,0,Dizziness and vertigo
0.6986,1.0,3.0,1.0,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_84254781.wav&key=test_key_TISTK,1249120_39675900_84254781.wav,i feel a pain in my back,Back pain,44045955,1,0,0,"Neck, back or spinal issues"
1.0,0.6892,3.0,1.0,43719934,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43719934_29460358.wav&key=test_key_TISTK,1249120_43719934_29460358.wav,laceration rupture or opening in the skin,Open wound,44218005,1,1,0,Wound and injury
0.6438,0.6438,3.33,1.0,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_33417205.wav&key=test_key_TISTK,1249120_39675900_33417205.wav,my back hurts me and i cant bend it or walk,Back pain,44150058,1,0,0,"Neck, back or spinal issues"
1.0,0.6443,3.67,1.0,38548574,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38548574_48897763.wav&key=test_key_TISTK,1249120_38548574_48897763.wav,my head hurts whenever i try to do something,Head ache,44292353,1,0,0,Headache
1.0,0.6456,4.0,1.0,44027675,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44027675_19144041.wav&key=test_key_TISTK,1249120_44027675_19144041.wav,i have dark spots on my skin,Skin issue,44150058,1,0,0,Hair and skin issues
1.0,0.6944,3.33,1.0,40401830,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40401830_78987039.wav&key=test_key_TISTK,1249120_40401830_78987039.wav,i feel a sharp pain in my stomach,Internal pain,42082009,1,1,0,Internal pain
1.0,0.6467,3.0,0.68,39675900,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_39675900_55647543.wav&key=test_key_TISTK,1249120_39675900_55647543.wav,i cant do anything i feel a weak in my body,Body feels weak,44045955,1,0,0,General weakness
1.0,0.6475,3.33,1.0,40663048,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_40663048_70883977.wav&key=test_key_TISTK,1249120_40663048_70883977.wav,i have cloudy eyes,Blurry vision,44340112,1,0,0,Sensory issues
1.0,0.6486,3.67,1.0,29672643,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_29672643_75261138.wav&key=test_key_TISTK,1249120_29672643_75261138.wav,i have a back pain since i turned  years old,Back pain,40632132,1,0,0,"Neck, back or spinal issues"
1.0,0.6496,4.0,1.0,33251186,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_33251186_66147241.wav&key=test_key_TISTK,1249120_33251186_66147241.wav,i tried to put my glasses to see more clear but cant find any change,Blurry vision,43318517,1,0,0,Sensory issues
1.0,0.6498,3.67,1.0,44027675,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44027675_99323119.wav&key=test_key_TISTK,1249120_44027675_99323119.wav,i feel deep tingling when i touch acne followed by bad sensation,Acne,43868212,1,0,0,Hair and skin issues
1.0,0.65,3.33,0.6786,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_93760266.wav&key=test_key_TISTK,1249120_43105396_93760266.wav,my acne gets worse when it is hot,Acne,21665495,1,0,0,Hair and skin issues
0.6503,0.6503,3.33,0.6503,38548574,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_38548574_37713058.wav&key=test_key_TISTK,1249120_38548574_37713058.wav,sometimes i feel like a claw on my chest that leaves me breathless,Hard to breath,44130352,1,0,0,Respiratory issue
1.0,0.6503,3.67,0.6503,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_31701494.wav&key=test_key_TISTK,1249120_43105396_31701494.wav,my abdominal muscles have great pain since i was at gym,Muscle pain,43793610,1,0,0,Muscle and joint pain
1.0,0.6599,3.33,1.0,43105396,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_43105396_18466333.wav&key=test_key_TISTK,1249120_43105396_18466333.wav,my back got injured while i was lifting at the gym,Injury from sports,44150058,1,0,0,Wound and injury
1.0,1.0,4.0,1.0,42554554,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_42554554_91878727.wav&key=test_key_TISTK,1249120_42554554_91878727.wav,my ankle is hurting me,Joint pain,43838565,1,1,0,Muscle and joint pain
1.0,0.6525,3.67,1.0,44023395,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44023395_102591472.wav&key=test_key_TISTK,1249120_44023395_102591472.wav,i think my wound is infected,Infected wound,21665495,1,0,0,Wound and injury
