audio_clipping:confidence,background_noise_audible:confidence,overall_quality_of_the_audio,quiet_speaker:confidence,speaker_id,file_download,file_name,phrase,prompt,writer_id,audio_clipping_no_clipping,background_noise_audible_no_noise,quiet_speaker_quiet_speaker,merged_prompt
1.0,0.6854,3.33,1.0,44415714,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44415714_12774994.wav&key=test_key_TISTK,1249120_44415714_12774994.wav,i read a book for along time and when i finished reading i feel head ache,Head ache,43949040,1,0,0,Headache
1.0,0.6552,3.67,1.0,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_89529293.wav&key=test_key_TISTK,1249120_44323331_89529293.wav,my hair is falling out in huge amount,Hair falling out,44118742,1,0,0,Hair and skin issues
0.6667,0.6667,3.0,0.6667,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_64809479.wav&key=test_key_TISTK,1249120_44263136_64809479.wav,my foot is hurting so much,Foot ache,34987462,0,0,0,Leg and foot pain
1.0,1.0,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_83019694.wav&key=test_key_TISTK,1249120_44259428_83019694.wav,i feel pain in the lower back,Back pain,44340112,1,0,0,"Neck, back or spinal issues"
1.0,0.6403,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_45992221.wav&key=test_key_TISTK,1249120_44259428_45992221.wav,i feel pain in my stomach,Stomach ache,44266645,1,0,0,Digestive issues
0.6867,0.3533,3.0,0.6867,44273314,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44273314_28827187.wav&key=test_key_TISTK,1249120_44273314_28827187.wav,my child has cough all night she cant sleep,Cough,44063565,1,0,0,Respiratory issue
1.0,0.6549,3.0,1.0,44294866,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44294866_20041027.wav&key=test_key_TISTK,1249120_44294866_20041027.wav,im disappointed,Emotional pain,44266645,1,0,0,Emotional and mental health
1.0,0.6916,3.33,1.0,44294866,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44294866_98831261.wav&key=test_key_TISTK,1249120_44294866_98831261.wav,i feel dizzy when i set infront of my laptop for an hour or two what possibly could be the reason,Feeling dizzy,40632132,1,0,0,Dizziness and vertigo
1.0,1.0,3.0,1.0,44263136,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44263136_42546148.wav&key=test_key_TISTK,1249120_44263136_42546148.wav,i feel pain inside and i can not identify it,Internal pain,41918114,0,0,0,Internal pain
0.6553,0.6818,3.0,1.0,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_89173398.wav&key=test_key_TISTK,1249120_44323331_89173398.wav,i have an indigestion,Stomach ache,44340112,0,0,0,Digestive issues
0.6774,0.6616,3.67,1.0,44323331,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44323331_27898617.wav&key=test_key_TISTK,1249120_44323331_27898617.wav,i feel dizzy whenever i stand up,Feeling dizzy,44140394,0,1,0,Dizziness and vertigo
1.0,0.6501,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_102515958.wav&key=test_key_TISTK,1249120_44259428_102515958.wav,when i was young i had an injury from sports in my knee,Injury from sports,38687371,1,0,0,Wound and injury
1.0,1.0,3.0,1.0,44259428,https://ml.sandbox.cf3.us/cgi-bin/index.cgi?download=1249120_44259428_108958575.wav&key=test_key_TISTK,1249120_44259428_108958575.wav,i m feeling cold though the temperature is high,Feeling cold,21665495,1,0,0,Feeling cold/hot
